TITLE,AUTHOR NAMES,PUBLICATION YEAR,SOURCE,PUBLICATION TYPE,ABSTRACT,MEDLINE PMID
Treatment and survival disparities in acral lentiginous melanoma: a National Cancer Database multivariate analysis,"Chang R.C., Brunsgaard E.K., Reid D.C.",2025,Melanoma Research (2025) 35:6 (409-417),Article,"This retrospective cohort study evaluated disparities across insurance types, racial groups, and socioeconomic status (SES) in acral lentiginous melanoma (ALM). We analyzed adults diagnosed with ALM in the National Cancer Database from 2016-2020. Black patients were more likely uninsured, had higher comorbidity scores, resided in areas of lower income and education, and had significantly lower survival at 3 and 5 years compared with White patients.",40773363
"Trends and disparities in melanoma mortality among older adults: A SEER analysis, 2000-2023","Akgun S., Demirci A., Yilmaz F.B.",2025,JCO Oncology Practice (2025) 21,Article,"Retrospective analysis of mortality trends among melanoma patients aged 65+ using SEER 2000-2023. Non-Hispanic White patients had the highest AAMR (14.6 per 100,000), followed by Hispanic (3.7), non-Hispanic Black (2.1), non-Hispanic Asian/Pacific Islander (1.7).",
Disparities in acral lentiginous melanoma: Factors beyond delayed diagnosis,"Grant S., Revan D., Tang L., Attwood K., Skitzki J., Paragh G.",2025,Journal of the American Academy of Dermatology (2025) 93:4 (1018-1026),Article,Cutaneous melanoma cases from SEER database analyzed by race in 4 major melanoma histological subtypes. ALM was the only subtype where Black patients faced significantly higher mortality risk (HR=2.04) vs White patients.,40562077
"Disparities in Melanoma and Other High-Risk Skin Cancers in the United States: Elders, Minorities, and Rural Populations",Asare E.A.,2025,Surgical Clinics of North America (2025) 105:3 (543-554),Review,"Review of disparities in melanoma, BCC, SCC, and MCC across minority populations in the US. Cancer incidence and mortality data by race/ethnicity.",40412885
"Cutaneous melanoma trends and disparities in Florida: A decade of incidence, mortality, and workforce data","Aristizabal M.A., Evans L.A., Pincelli T.P., Degesys C.A., Barbosa N.S.",2025,Journal of the American Academy of Dermatology (2025) 92:6 (1452-1454),Article,Melanoma incidence and mortality trends in Florida by race/ethnicity over a decade.,40010507
"Skin cancer risk across racial/ethnic groups among solid organ transplant recipients in the United States, 2000-2022","Ojute F., Zakaria A., Zullo S., Klufas D., Amerson E.",2025,Journal of the American Academy of Dermatology (2025) 92:4 (884-887),Article,"Cancer incidence of skin cancer across racial/ethnic groups in solid organ transplant recipients in US, 2000-2022. Includes hazard ratios by race for BCC, SCC, melanoma.",39579990
Acral Melanoma in Skin of Color: Current Insights and Future Directions: A Narrative Review,"Nadelmann E.R., Singh A.K., Abbruzzese M.",2025,Cancers (2025) 17:3,Review,Review of ALM epidemiology in various racial/ethnic groups. Significant disparities in ALM outcomes exist across racial and ethnic groups.,
Incidence of melanoma in situ among racial and ethnic minorities in the United States,"Dhaliwal G.S., Greene A., Ho A., Mangold A.R., Costello C.M.",2025,JAAD International (2025) 18 (20-21),Article,Incidence rates of melanoma in situ by race/ethnicity among US racial and ethnic minorities.,
Racial and Ethnic Differences in the Risk of Second Primary Melanoma,"Zhang S., Patel V.R., Spencer J.C., Haynes A.B., Adamson A.S.",2024,JAMA Dermatology (2024) 160:12,Article,Racial and ethnic differences in the incidence of second primary melanoma in the US.,39382874
Sexual Orientation and Lifetime Prevalence of Skin Cancer Across Racial and Ethnic Groups,"Rypka K.J., Wendland Z.D., Steele M.V., Wehner M.R., Yeung H., Mansh M.D.",2024,JAMA Dermatology (2024) 160:9 (977-983),Article,"Cross-sectional study using BRFSS 2014-2021. Lifetime prevalence of skin cancer by race/ethnicity. Non-Hispanic White 8.5%, Hispanic 1.8%, non-Hispanic Black 0.5%, Asian/Pacific Islander rates reported.",39018081
Sex disparities in melanoma presentation and disease-specific survival in Asian and Pacific Islanders diagnosed with cutaneous melanoma,"Taylor M.A., Mishra A., Thomas S., Sharma D., Wei E.X.",2024,Archives of Dermatological Research (2024) 316:7,Article,Melanoma incidence and survival in Asian and Pacific Islander populations using SEER database.,38904788
Rural Health Disparities in Skin Cancer Amplified Among Skin of Color,"Lin R.R., Lee J., Maderal A.D., Elman S.A.",2024,Journal of Drugs in Dermatology (2024) 23:6 (480-484),Article,"Cross-sectional study BRFSS 2018-2021. Prevalence of skin cancer history by race and rural/urban status. Rural non-Hispanic White OR=1.40, rural Black OR=1.74, rural Hispanic OR=2.31 vs urban counterparts.",38834209
Keratinocyte Carcinoma Incidence by Race and Ethnicity in Older Adults with Medicare Coverage,"Navsaria L.J., Li Y., Tripathy S., Mohr C.A., Hinkston C.L., Margolis D.J., Wehner M.R.",2024,JAMA Dermatology (2024) 160:1 (109-111),Article,Incidence of BCC and SCC by race and ethnicity in Medicare-covered older adults.,38019561
Non-melanoma skin cancer in solid organ transplant recipients with skin of color,"Lin J.Y., Wang J., Mishra K.",2024,Journal of the American Academy of Dermatology (2024) 90:1 (159-160),Article,"Prevalence of NMSC in solid organ transplant recipients with skin of color (Black, Hispanic, Asian, American Indian patients).",37689168
Racial and ethnic minorities in lower income brackets are associated with late-stage diagnosis of non-ocular melanoma,"Joshi P., Ogobuiro I., Hernandez A.",2023,Cancer Epidemiology (2023) 87,Article,"SEER 2000-2019 analysis. Male gender, Black race, Asian/Pacific Islander, and Hispanic ethnicity significantly associated with late-stage melanoma diagnosis.",37979223
Racial disparities in diagnosis of invasive melanoma among veterans: A comparative analysis with SEER,"Lim R.K., Weinstock M.A.",2023,Journal of the American Academy of Dermatology (2023) 89:4 (806-808),Article,Racial disparities in melanoma incidence and staging among veterans compared to SEER general population.,37257778
"Acral lentiginous melanoma incidence by sex, race, ethnicity, and stage in the United States, 2010-2019","Holman D.M., King J.B., White A., Singh S.D., Lichtenfeld J.L.",2023,Preventive Medicine (2023) 175,Article,"Age-adjusted ALM incidence rates by race/ethnicity using CDC NPCR and NCI SEER 2010-2019. Non-Hispanic Black 1.8/million, Asian/PI 1.7/million, Hispanic Black/AI/AN/API 1.5/million, non-Hispanic White 2.3/million. Hispanic White 2.8/million.",37659614
"Racial and ethnic differences in males with melanoma: A retrospective cohort study of 205,125 cases","Fernandez J.M., Mata E.M., Bubic B.N., Kwan K.R., Whitley M.J., Wysong A.",2023,Journal of the American Academy of Dermatology (2023) 89:4 (828-832),Article,National Cancer Database analysis of racial/ethnic differences in melanoma in males.,37436331
Melanoma in skin of color: Part I. Epidemiology and clinical presentation,"Brunsgaard E.K., Wu Y.P., Grossman D.",2023,Journal of the American Academy of Dermatology (2023) 89:3 (445-456),Review,Review of melanoma epidemiology in skin of color populations. Higher incidence among non-Hispanic Whites but higher proportion of ALM and mucosal melanoma among skin of color.,35533771
"Melanoma in skin of color: Part II. Racial disparities, role of UV, and interventions","Brunsgaard E.K., Jensen J., Grossman D.",2023,Journal of the American Academy of Dermatology (2023) 89:3 (459-468),Review,"Despite higher incidence of melanoma in White individuals, melanoma-specific survival is worse among individuals with skin of color.",35533770
Skin Cancer in Skin of Color,"Munjal A., Ferguson N.",2023,Dermatologic Clinics (2023) 41:3 (481-489),Review,"Review of epidemiology and incidence of BCC, SCC, melanoma in skin of color populations including prevalence and incidence data by race.",37236716
Racial and ethnic differences in tumor characteristics and overall survival of women with melanoma,"Fernandez J.M., Bubic B.N., Dahak S., Mata E.M., Kwan K.R.",2023,Journal of the American Academy of Dermatology (2023) 88:3 (694-696),Article,National Cancer Database retrospective cohort of racial/ethnic differences in melanoma in women.,35933068
Racial and socioeconomic differences in acral lentiginous melanoma outcomes: A SEER analysis,"Raval N.S., Hodges W.T., Ugwu-Dike P.O.",2022,Journal of the American Academy of Dermatology (2022) 87:4 (866-867),Article,SEER analysis of racial and socioeconomic differences in ALM outcomes.,34813908
Racial Differences in the Prognosis and Survival of Cutaneous Melanoma 1990-2020 in North America: A Systematic Review and Meta-Analysis,"Lam M., Zhu J.W., Hu A., Beecker J.",2022,Journal of Cutaneous Medicine and Surgery (2022) 26:2 (181-188),Review,"Systematic review and meta-analysis. Black patients at significantly increased risk for overall mortality (HR 1.42, 95%CI 1.25-1.60) and melanoma-specific mortality (HR 1.27, 95%CI 1.03-1.56) vs non-Hispanic White.",34676795
Skin Cancer in People of Color: A Systematic Review,"Zakhem G.A., Pulavarty A.N., Lester J.C., Stevenson M.L.",2022,American Journal of Clinical Dermatology (2022) 23:2 (137-151),Review,"Systematic review assessing incidence, risk factors, clinical characteristics, treatment, and survival for skin malignancies in people of color (African, Asian, Hispanic/Latino, Pacific Islander, Native Indian). 251 studies included.",
The ongoing racial disparities in melanoma: SEER database (1975-2016),"Qian Y., Johannet P., Sawyers A., Yu J., Osman I., Zhong J.",2021,Journal of the American Academy of Dermatology (2021) 84:6 (1585-1593),Article,"SEER analysis of 381,035 melanoma patients. Racial disparity in melanoma-specific survival worsened over time for Hispanic, NHB, and NHAPI patients.",32861710
Racial disparities in patients with melanoma: A multivariate survival analysis,"Brady J., Kashlan R., Ruterbusch J., Farshchian M., Moossavi M.",2021,"Clinical, Cosmetic and Investigational Dermatology (2021) 14 (547-550)",Article,SEER data 2000-2016 Wayne County Michigan. Non-Hispanic black patients had highest percentage of late-stage melanoma and higher melanoma-specific death vs non-Hispanic white.,
"Analysis of Prevalence, Socioeconomic and Disease Trends of Non-Melanoma Skin Cancer in New Zealand 2008-2022","Paul S., Chen Y., Mohaghegh M.",2024,Journal of Epidemiology and Global Health (2024) 14:3 (1012-1021),Article,"Targeted screening of 32,839 individuals in Auckland NZ 2008-2022. 11,625 skin cancers detected. Prevalence of NMSC including BCC and SCC with demographic and socioeconomic data.",38842790
"Basal Cell Carcinoma, Squamous Cell Carcinoma, and Cutaneous Melanoma in Skin of Color Patients","Hogue L., Harvey V.M.",2019,Dermatologic Clinics (2019) 37:4 (519-526),Review,"Review of clinical and epidemiologic features of BCC, SCC, and melanoma in skin of color. Incidence data by race/ethnicity.",31466591
Racial differences in six major subtypes of melanoma: Descriptive epidemiology,"Wang Y., Zhao Y., Ma S.",2016,BMC Cancer (2016) 16:1,Article,"SEER analysis of 6 melanoma subtypes by race. NHW highest incidence for MIS, SSM, NM, LMM; for ALM, Hispanic Whites highest. Incidence rates by NHW, Hispanic White, Black, Asian/PI provided.",27576582
"Prevalence and Mortality of Melanoma in Oklahoma Among Racial Groups, 2000-2008","Baldwin J., Janitz A.E., Erb-Alvarez J., Snider C., Campbell J.E.",2016,The Journal of the Oklahoma State Medical Association (2016) 109:7-8 (311-316),Article,Period prevalence 2000-2008 and mortality rates of melanoma in Oklahoma by racial/ethnic strata. White non-Hispanics highest prevalence. American Indian/Alaska Native second highest prevalence.,27885301
Melanoma in skin of color in Connecticut: An analysis of melanoma incidence and stage,"Clairwood M., Ricketts J., Grant-Kels J., Gonsalves L.",2014,International Journal of Dermatology (2014) 53:4 (425-433),Article,Age-adjusted melanoma incidence rates 1992-2007 in Connecticut by race. NHW melanoma incidence increased 4.1%/year; remained stable for Hispanics and NHB. Higher proportion of advanced melanomas in NHB (19.1%) and Hispanics (17.1%) vs NHW (8.7%).,23968545
Skin cancer and photoprotection in people of color: A review and recommendations,"Agbai O.N., Buster K., Sanchez M.",2014,Journal of the American Academy of Dermatology (2014) 70:4 (748-762),Review,Review of skin cancer prevalence and incidence across races. Skin cancer less prevalent in people of color but presents at more advanced stage.,24485530
Lifetime risks of cutaneous melanoma by histological subtype and race/ethnicity in the United States,"Feng Z., Zhang Z., Wu X.C.",2013,The Journal of the Louisiana State Medical Society (2013) 165:4 (201-208),Article,"Lifetime risks of cutaneous melanoma by histological subtype among NHW, Hispanic Whites, Blacks, and Asian/PI using SEER 2005-2007.",24133782
"Skin cancer in skin of color: An update on current facts, trends, and misconceptions","PharmD C.B., Gohara M., Verschoore M., Roberts W.",2013,Journal of Drugs in Dermatology (2013) 12:2 (194-198),Article,Skin cancer comprises only 1-2% of all malignancies in darker complexions. Mortality rates substantially higher in this subgroup compared to Caucasians. Epidemiology data by race.,23377393
"Racial and ethnic variations in incidence and survival of cutaneous melanoma in the United States, 1999-2006","Wu X.-C., Eide M.J., King J., Saraiya M., Huang Y.",2011,Journal of the American Academy of Dermatology (2011) 65:5 SUPPL.1 (S26-S37),Review,"Population-based analysis of 38 cancer registries. Melanoma incidence by race: White >> Hispanic >> AI/AN >> Asian/PI >> Black. Incidence rates provided per 100,000 by race/ethnicity.",22018064
The health burden and economic costs of cutaneous melanoma mortality by race/ethnicity US 2000-2006,"Ekwueme D.U., Guy Jr. G.P., Li C.",2011,Journal of the American Academy of Dermatology (2011) 65:5 SUPPL.1 (S133-S143),Article,Years of potential life lost and economic costs of melanoma mortality by race/ethnicity 2000-2006. YPLL rates much higher among non-Hispanic whites vs non-Hispanic blacks and Hispanics.,22018062
"Clinical presentation, histology, and prognoses of malignant melanoma in ethnic Chinese: A study of 522 consecutive cases","Chi Z., Li S., Sheng X., Si L., Cui C., Han M., Guo J.",2011,BMC Cancer (2011) 11,Article,"522 consecutive melanoma cases in China. ALM 41.8%, mucosal 22.6%, NM 19.7%, SSM 6.3%. 5-year overall survival 41.6%. Epidemiology of melanoma in ethnic Chinese population.",21349197
"Disparity in melanoma: A trend analysis of melanoma incidence and stage at diagnosis among whites, Hispanics, and blacks in Florida 1990-2004","Hu S., Parmet Y., Allen G., Parker D.F.",2009,Archives of Dermatology (2009) 145:12 (1369-1374),Article,Florida Cancer Data System 1990-2004. Age-adjusted melanoma incidence trends by race. WNH melanoma increased 3.0-3.6%/year; Hispanics and blacks stable. Both WH and blacks had more advanced melanoma at presentation.,20026844
Survival for patients with invasive cutaneous melanoma among ethnic groups: Effects of SES and treatment,"Zell J.A., Cinar P., Mobasher M., Ziogas A.",2008,Journal of Clinical Oncology (2008) 26:1 (66-75),Article,"California Cancer Registry 1993-2003. 39,049 cutaneous melanoma cases. After adjustment, African Americans had significantly increased risk of death vs NHW (HR 1.60, 95%CI 1.17-2.18). No survival difference for Asians or Hispanics after adjustment.",18165642
Skin cancer in skin of color,"Gloster Jr. H.M., Neal K.",2006,Journal of the American Academy of Dermatology (2006) 55:5 (741-760),Review,Comprehensive review of skin cancer epidemiology across racial groups. SCC most common in dark-skinned ethnic groups. Melanoma incidence by race provided.,17052479
Ethnic differences among patients with cutaneous melanoma,"Cormier J.N., Xing Y., Ding M., Lee J.E., Mansfield P.F.",2006,Archives of Internal Medicine (2006) 166:17 (1907-1914),Article,"SEER 1992-2002. Age-adjusted melanoma incidence per 100,000: White 18.4, Hispanic 2.3, Black 0.8, American Indian 1.6, Asian 1.0. 1.96-3.01 fold higher disease-specific mortality in minorities vs whites.",17000949
Effect of ethnicity on the risk of developing nonmelanoma skin cancer following long-term PUVA therapy,"Murase J.E., Lee E.E., Koo J.",2005,International Journal of Dermatology (2005) 44:12 (1016-1021),Article,"Analysis of 4294 long-term PUVA patients in Japan, Korea, Thailand, Egypt, Tunisia. No increased NMSC risk with long-term PUVA in Asian and Arabian-African populations vs Caucasians.",16409267
Skin cancer and photoaging in ethnic skin,"Halder R.M., Ara C.J.",2003,Dermatologic Clinics (2003) 21:4 (725-732),Review,"Skin cancer prevalence in ethnic skin is low. SCC, hypopigmented mycosis fungoides, and ALM most serious in darker-skinned population. Incidence data by race/ethnicity.",14717413
